index,game,score,leaderbord,gamers,comp_perc,rating,url,min_comp_time,max_comp_time,Links,genres,developer,publisher,release_date,size
796,Machinarium,380,1.2,2441,64.6,3.7,https://www.truetrophies.com/game/Machinarium/trophies,2,3,https://www.truetrophies.com/game/Machinarium,Adventure|Point-and-Click,Amanita-Design,Amanita-Design,2016/September/21,326MB
797,Mad Max,2705,2.03,112292,12.1,3.8,https://www.truetrophies.com/game/Mad-Max/trophies,60,80,https://www.truetrophies.com/game/Mad-Max,Automobile|Open-World|Vehicular-Combat|Beat-em-up,Avalanche-Studios,Warner-Bros-Interactive-Entertainment,2015/September/01,30.90GB
798,Madden NFL 20,3455,2.62,13246,5.0,3.9,https://www.truetrophies.com/game/Madden-NFL-20/trophies,15,20,https://www.truetrophies.com/game/Madden-NFL-20,Sports|American-Football,EA-Tiburon,Electronic-Arts,2019/August/02,37.75GB
799,Mafia II: Definitive Edition,3390,2.04,12507,4.0,3.8,https://www.truetrophies.com/game/Mafia-II-Definitive-Edition/trophies,20,25,https://www.truetrophies.com/game/Mafia-II-Definitive-Edition,Open-World|Third-Person-Shooter,Hangar-13,2K-Games,2020/May/19,46.45GB
800,Mafia III,3499,1.99,107596,3.6,3.5,https://www.truetrophies.com/game/Mafia-III/trophies,40,50,https://www.truetrophies.com/game/Mafia-III,Open-World|Third-Person-Shooter,Hangar-13,2K-Games,2016/October/07,51.72GB
801,Mafia: Definitive Edition (EU),1983,1.56,13318,24.8,4.2,https://www.truetrophies.com/game/Mafia-Definitive-Edition-European/trophies,25,30,https://www.truetrophies.com/game/Mafia-Definitive-Edition-European,Open-World|Third-Person-Shooter,Hangar-13,2K-Games,2020/September/25,37.77GB
802,Magicka 2,5787,4.29,34755,3.4,3.2,https://www.truetrophies.com/game/Magicka-2/trophies,20,25,https://www.truetrophies.com/game/Magicka-2,Action-Adventure,Pieces-Interactive,Paradox-Interactive,2015/May/26,2.24GB
803,Mahjong,427,1.42,1734,39.0,3.0,https://www.truetrophies.com/game/Mahjong/trophies,8,10,https://www.truetrophies.com/game/Mahjong,Card-and-Board,Sanuk-Games,Nacon,2016/August/30,518MB
804,Making*Lovers,1296,1.03,411,93.9,1.7,https://www.truetrophies.com/game/MakingLovers/trophies,0,1,https://www.truetrophies.com/game/MakingLovers,Visual-Novel,SMEE,Entergram,2019/July/25,2.26GB
805,Maneater (PS4),1688,1.28,14712,54.4,3.9,https://www.truetrophies.com/game/Maneater-PS4/trophies,10,12,https://www.truetrophies.com/game/Maneater-PS4,Open-World|Action,Tripwire-Interactive,Tripwire-Interactive,2020/May/22,6.30GB
806,Many Faces,1332,1.01,910,97.4,2.2,https://www.truetrophies.com/game/Many-Faces/trophies,0,1,https://www.truetrophies.com/game/Many-Faces,Shoot-em-up,WANZUNGDEV,eastasiasoft,2020/May/27,143MB
807,Many Faces (EU),1336,1.01,1092,96.2,2.0,https://www.truetrophies.com/game/Many-Faces-European/trophies,0,1,https://www.truetrophies.com/game/Many-Faces-European,Shoot-em-up,WANZUNGDEV,eastasiasoft,2020/May/27,143MB
808,Mark of the Ninja: Remastered (EU),1984,1.56,1206,32.5,4.8,https://www.truetrophies.com/game/Mark-of-the-Ninja-Remastered-European/trophies,15,20,https://www.truetrophies.com/game/Mark-of-the-Ninja-Remastered-European,Stealth,Klei-Entertainment,Klei-Entertainment,2018/October/09,10.27GB
809,Marvel's Guardians of the Galaxy: The Telltale Series,1370,1.07,21433,77.3,3.8,https://www.truetrophies.com/game/Marvels-Guardians-of-the-Galaxy-The-Telltale-Series/trophies,1,2,https://www.truetrophies.com/game/Marvels-Guardians-of-the-Galaxy-The-Telltale-Series,Adventure|Point-and-Click,Telltale-Games,Telltale-Games,2017/April/18,3.52GB
810,Marvel's Spider-Man,2656,1.34,232809,9.8,4.6,https://www.truetrophies.com/game/SpiderMan/trophies,25,30,https://www.truetrophies.com/game/SpiderMan,Action-Adventure|Open-World,Insomniac-Games,Sony-Interactive-Entertainment,2018/September/07,47.38GB
811,Marvel's Spider-Man: Miles Morales (PS4),1812,1.36,19499,38.1,4.4,https://www.truetrophies.com/game/SpiderMan-Miles-Morales-PS4/trophies,15,20,https://www.truetrophies.com/game/SpiderMan-Miles-Morales-PS4,Action-Adventure|Open-World,Insomniac-Games,Sony-Interactive-Entertainment,2020/November/12,44.87GB
812,Mass Effect: Andromeda,3071,2.27,69124,7.9,3.6,https://www.truetrophies.com/game/Mass-Effect-Andromeda/trophies,80,100,https://www.truetrophies.com/game/Mass-Effect-Andromeda,Action-RPG|Open-World|Role-Playing|Third-Person-Shooter|,BioWare,Electronic-Arts,2017/March/21,43.00GB
813,Max Payne,518,1.73,4542,24.2,3.9,https://www.truetrophies.com/game/Max-Payne/trophies,2,3,https://www.truetrophies.com/game/Max-Payne,Third-Person-Shooter,Remedy-Entertainment,Rockstar,2016/March/22,1.20GB
814,MechaNika,1295,1.03,680,93.7,2.5,https://www.truetrophies.com/game/MechaNika/trophies,0,1,https://www.truetrophies.com/game/MechaNika,Adventure|Point-and-Click,Mango-Protocol,Mango-Protocol,2019/November/07,165MB
815,Mecho Tales,1322,1.03,1781,92.9,2.3,https://www.truetrophies.com/game/Mecho-Tales/trophies,2,3,https://www.truetrophies.com/game/Mecho-Tales,Run-and-Gun,Arcade-Distillery,Arcade-Distillery,2017/September/26,332MB
816,Mecho Tales (EU),1335,1.03,897,90.9,1.9,https://www.truetrophies.com/game/Mecho-Tales-European/trophies,2,3,https://www.truetrophies.com/game/Mecho-Tales-European,Run-and-Gun,Arcade-Distillery,Arcade-Distillery,2020/February/25,283MB
817,MediEvil,1807,1.4,28456,41.7,3.9,https://www.truetrophies.com/game/MediEvil/trophies,15,20,https://www.truetrophies.com/game/MediEvil,Action-Adventure,Other-Ocean-Interactive,Sony-Interactive-Entertainment,2019/October/25,21.86GB
818,Mega Man X Legacy Collection,2080,1.54,9915,32.8,4.5,https://www.truetrophies.com/game/Mega-Man-X-Legacy-Collection/trophies,20,25,https://www.truetrophies.com/game/Mega-Man-X-Legacy-Collection,Collection|Platformer,Capcom-Entertainment,Capcom-Entertainment,2018/July/24,9.03GB
819,Megadimension Neptunia VII,2851,2.18,8476,13.8,4.2,https://www.truetrophies.com/game/Megadimension-Neptunia-V2/trophies,60,80,https://www.truetrophies.com/game/Megadimension-Neptunia-V2,Role-Playing|Turn-Based,Compile-Heart,Idea-Factory,2016/February/02,7.70GB
820,Mekabolt,1368,1.01,2418,96.9,1.9,https://www.truetrophies.com/game/Mekabolt/trophies,0,1,https://www.truetrophies.com/game/Mekabolt,Platformer,Somepx,Ratalaika-Games,2019/August/20,205MB
821,Mekabolt (Asia),1357,1.01,954,99.0,2.0,https://www.truetrophies.com/game/Mekabolt-Asian/trophies,0,1,https://www.truetrophies.com/game/Mekabolt-Asian,Platformer,Somepx,eastasiasoft,2019/October/18,219MB
822,Mekabolt (EU),1370,1.01,3300,96.7,1.9,https://www.truetrophies.com/game/Mekabolt-European/trophies,0,1,https://www.truetrophies.com/game/Mekabolt-European,Platformer,Somepx,Ratalaika-Games,2019/August/21,208MB
823,Mekorama (EU),1567,1.17,344,67.4,1.7,https://www.truetrophies.com/game/Mekorama-European/trophies,2,3,https://www.truetrophies.com/game/Mekorama-European,Puzzle,Martin-Magni,Rainy-Frog,2020/March/26,52MB
824,Memory Lane,1348,1.01,1819,98.0,2.4,https://www.truetrophies.com/game/Memory-Lane/trophies,0,1,https://www.truetrophies.com/game/Memory-Lane,Puzzle,Playstige-Interactive,Playstige-Interactive,2020/August/04,704MB
825,Memory Lane (EU),1347,1.01,2568,98.1,2.4,https://www.truetrophies.com/game/Memory-Lane-European/trophies,0,1,https://www.truetrophies.com/game/Memory-Lane-European,Puzzle,Playstige-Interactive,Playstige-Interactive,2020/August/07,704MB
826,Mercenary Kings,3576,2.68,15907,8.8,3.3,https://www.truetrophies.com/game/Mercenary-Kings/trophies,50,60,https://www.truetrophies.com/game/Mercenary-Kings,Run-and-Gun,Tribute-Games,Tribute-Games,2014/April/01,328MB
827,METAGAL,1311,1.02,4044,94.4,2.4,https://www.truetrophies.com/game/METAGAL/trophies,0,1,https://www.truetrophies.com/game/METAGAL,Platformer,Retro-Revolution,Ratalaika-Games,2019/March/26,103MB
828,METAGAL (Asia),1300,1.01,1207,97.5,2.2,https://www.truetrophies.com/game/METAGAL-Asian/trophies,0,1,https://www.truetrophies.com/game/METAGAL-Asian,Platformer,Retro-Revolution,eastasiasoft,2019/April/23,128MB
829,METAGAL (EU),1309,1.01,4751,94.8,2.1,https://www.truetrophies.com/game/METAGAL-European/trophies,0,1,https://www.truetrophies.com/game/METAGAL-European,Platformer,Retro-Revolution,Ratalaika-Games,2019/March/27,106MB
830,METAGAL (Vita),1312,1.02,2273,94.5,2.7,https://www.truetrophies.com/game/METAGAL-Vita/trophies,0,1,https://www.truetrophies.com/game/METAGAL-Vita,Platformer,Retro-Revolution,Ratalaika-Games,2019/March/26,98MB
831,Metal Gear Solid V: Ground Zeroes,750,2.38,123071,8.1,3.7,https://www.truetrophies.com/game/Metal-Gear-Solid-V-Ground-Zeroes/trophies,15,20,https://www.truetrophies.com/game/Metal-Gear-Solid-V-Ground-Zeroes,Stealth|Third-Person-Shooter,Kojima-Productions,Konami-Digital-Entertainment,2014/March/18,3.90GB
832,Metal Gear Solid V: The Phantom Pain,3068,2.41,168755,8.5,4.3,https://www.truetrophies.com/game/Metal-Gear-Solid-V-The-Phantom-Pain/trophies,150,200,https://www.truetrophies.com/game/Metal-Gear-Solid-V-The-Phantom-Pain,Open-World|Stealth|Third-Person-Shooter,Kojima-Productions,Konami-Digital-Entertainment,2015/September/01,25.10GB
833,METAL SLUG 3,658,2.09,20687,10.8,3.4,https://www.truetrophies.com/game/METAL-SLUG-3/trophies,3,4,https://www.truetrophies.com/game/METAL-SLUG-3,Run-and-Gun,SNK-Playmore,SNK-Playmore,2015/March/24,142MB
834,Metro 2033 Redux,2257,1.67,45753,23.3,4.0,https://www.truetrophies.com/game/Metro-2033-Redux/trophies,20,25,https://www.truetrophies.com/game/Metro-2033-Redux,First-Person-Shooter|Stealth,4A-Games,Deep-Silver,2014/August/26,8.26GB
835,Metro Exodus,3820,2.14,34285,2.5,3.9,https://www.truetrophies.com/game/Metro-Exodus/trophies,20,25,https://www.truetrophies.com/game/Metro-Exodus,First-Person-Shooter|Stealth,4A-Games,Deep-Silver,2019/February/15,48.58GB
836,Metro: Last Light Redux,2257,1.67,37011,22.3,4.1,https://www.truetrophies.com/game/Metro-Last-Light-Redux/trophies,20,25,https://www.truetrophies.com/game/Metro-Last-Light-Redux,First-Person-Shooter|Stealth,4A-Games,Deep-Silver,2014/August/26,9.72GB
837,Metropolis: Lux Obscura,1411,1.07,1023,82.1,3.6,https://www.truetrophies.com/game/Metropolis-Lux-Obscura/trophies,4,5,https://www.truetrophies.com/game/Metropolis-Lux-Obscura,Puzzle,Ktulhu-Solutions,Sometimes-You,2018/April/04,680MB
838,Metropolis: Lux Obscura (EU),1419,1.08,1191,80.9,2.9,https://www.truetrophies.com/game/Metropolis-Lux-Obscura-European/trophies,3,4,https://www.truetrophies.com/game/Metropolis-Lux-Obscura-European,Puzzle,Ktulhu-Solutions,Sometimes-You,2018/April/04,680MB
839,Micetopia,1376,1.04,286,88.5,3.0,https://www.truetrophies.com/game/Micetopia/trophies,1,2,https://www.truetrophies.com/game/Micetopia,Metroidvania|Platformer,Ninja-Rabbit-Studio,Ratalaika-Games,2020/November/20,76MB
840,Micetopia (EU),1356,1.03,370,92.7,1.8,https://www.truetrophies.com/game/Micetopia-European/trophies,1,2,https://www.truetrophies.com/game/Micetopia-European,Metroidvania|Platformer,Ninja-Rabbit-Studio,Ratalaika-Games,2020/November/20,76MB
841,Middle-earth: Shadow of Mordor,3055,1.76,109263,1.3,4.1,https://www.truetrophies.com/game/Middle-earth-Shadow-of-Mordor/trophies,25,30,https://www.truetrophies.com/game/Middle-earth-Shadow-of-Mordor,Action-RPG|Open-World|Role-Playing|Stealth,Monolith-Productions,Warner-Bros-Interactive-Entertainment,2014/October/03,28.95GB
842,Middle-earth: Shadow of Mordor - Game of the Year Edition,3064,1.76,50378,4.4,4.1,https://www.truetrophies.com/game/Middleearth-Shadow-of-Mordor--Game-of-the-Year-Edition/trophies,40,50,https://www.truetrophies.com/game/Middleearth-Shadow-of-Mordor--Game-of-the-Year-Edition,Action-RPG|Open-World|Role-Playing|Stealth,Monolith-Productions,Warner-Bros-Interactive-Entertainment,2015/May/05,36.75GB
843,Middle-earth: Shadow of War,3069,1.79,76699,2.6,3.9,https://www.truetrophies.com/game/Middle-earth-Shadow-of-War/trophies,40,50,https://www.truetrophies.com/game/Middle-earth-Shadow-of-War,Action-RPG|Hack-and-Slash|Open-World|Role-Playing|Stealth,Monolith-Productions,Warner-Bros-Interactive-Entertainment,2017/October/10,39.00GB
844,Midnight Deluxe,1365,1.01,5455,96.8,2.4,https://www.truetrophies.com/game/Midnight-Deluxe/trophies,0,1,https://www.truetrophies.com/game/Midnight-Deluxe,Platformer,Petite-Games,Ratalaika-Games,2018/March/06,177MB
845,Midnight Deluxe (Asia),1359,1.01,2523,98.0,2.1,https://www.truetrophies.com/game/Midnight-Deluxe-Asian/trophies,0,1,https://www.truetrophies.com/game/Midnight-Deluxe-Asian,Platformer,Petite-Games,eastasiasoft,2018/March/09,183MB
846,Midnight Deluxe (EU),1364,1.01,9134,97.0,2.5,https://www.truetrophies.com/game/Midnight-Deluxe-European/trophies,0,1,https://www.truetrophies.com/game/Midnight-Deluxe-European,Platformer,Petite-Games,Ratalaika-Games,2018/March/07,182MB
847,Mikagami Sumika no Seifuku Katsudou,304,1.01,629,97.1,0.5,https://www.truetrophies.com/game/Mikagami-Sumika-no-Seifuku-Katsudou/trophies,0,1,https://www.truetrophies.com/game/Mikagami-Sumika-no-Seifuku-Katsudou,Visual-Novel,Prekano,Entergram,2018/May/24,936MB
848,Milo's Quest,1366,1.01,2296,96.5,2.2,https://www.truetrophies.com/game/Milos-Quest/trophies,0,1,https://www.truetrophies.com/game/Milos-Quest,Action-Adventure,lightUP,Ratalaika-Games,2020/January/28,59MB
849,Milo's Quest (EU),1365,1.01,3336,96.7,2.0,https://www.truetrophies.com/game/Milos-Quest-European/trophies,0,1,https://www.truetrophies.com/game/Milos-Quest-European,Action-Adventure,lightUP,Ratalaika-Games,2020/January/29,62MB
850,Minecraft,10484,2.95,127563,1.0,4.2,https://www.truetrophies.com/game/Minecraft-PS4/trophies,30,35,https://www.truetrophies.com/game/Minecraft-PS4,Sandbox|Survival,4J-Studios,Mojang-Studios,2014/September/03,225MB
851,Minecraft Dungeons,3149,1.81,12305,0.9,3.9,https://www.truetrophies.com/game/Minecraft-Dungeons/trophies,15,20,https://www.truetrophies.com/game/Minecraft-Dungeons,Action-RPG|Dungeon-Crawler|Hack-and-Slash|Role-Playing,Double-Eleven|Mojang-Studios|Xbox-Game-Studios,Xbox-Game-Studios,2020/May/26,1.52GB
852,Minecraft: Story Mode - A Telltale Games Series,2498,1.29,24787,26.7,3.5,https://www.truetrophies.com/game/Minecraft-Story-Mode-A-Telltale-Games-Series/trophies,1,2,https://www.truetrophies.com/game/Minecraft-Story-Mode-A-Telltale-Games-Series,Adventure|Point-and-Click,Telltale-Games,Telltale-Games,2015/October/13,786MB
853,Minecraft: Story Mode - Season Two,1353,1.06,5990,80.9,3.5,https://www.truetrophies.com/game/Minecraft-Story-Mode-Season-2/trophies,1,2,https://www.truetrophies.com/game/Minecraft-Story-Mode-Season-2,Adventure|Point-and-Click,Telltale-Games,Telltale-Games,2017/July/11,1.80GB
854,Minefield,374,1.19,1922,59.6,2.6,https://www.truetrophies.com/game/Minefield/trophies,0,1,https://www.truetrophies.com/game/Minefield,Puzzle,KODOBUR,KODOBUR,2018/March/21,1.12GB
855,Minefield (EU),382,1.21,3332,57.0,2.3,https://www.truetrophies.com/game/Minefield-European/trophies,0,1,https://www.truetrophies.com/game/Minefield-European,Puzzle,KODOBUR,KODOBUR,2018/March/16,1.12GB
856,Minesweeper Genius,1486,1.15,232,69.4,3.8,https://www.truetrophies.com/game/Minesweeper-Genius/trophies,6,8,https://www.truetrophies.com/game/Minesweeper-Genius,Puzzle,Mother-Gaia-Studio,Level-77,2019/February/13,162MB
857,Minesweeper Genius (EU),1509,1.17,363,67.2,3.9,https://www.truetrophies.com/game/Minesweeper-Genius-European/trophies,4,5,https://www.truetrophies.com/game/Minesweeper-Genius-European,Puzzle,Mother-Gaia-Studio,Blowfish-Studios,2019/February/12,162MB
858,Minit,1654,1.28,2814,51.2,4.2,https://www.truetrophies.com/game/Minit/trophies,1,2,https://www.truetrophies.com/game/Minit,Action-RPG|Role-Playing,JW-Kitty-Jukio-and-Dom,Devolver-Digital,2018/April/03,141MB
859,Mirror's Edge Catalyst,2912,2.18,41375,12.4,3.6,https://www.truetrophies.com/game/Mirrors-Edge-Catalyst/trophies,20,25,https://www.truetrophies.com/game/Mirrors-Edge-Catalyst,Open-World|Platformer,DICE,Electronic-Arts,2016/June/07,16.00GB
860,Mixups by POWGI,1364,1.03,1500,92.5,2.3,https://www.truetrophies.com/game/Mixups-by-POWGI/trophies,1,2,https://www.truetrophies.com/game/Mixups-by-POWGI,Puzzle,Lightwood-Games,Lightwood-Games,2019/February/12,269MB
861,Mixups by POWGI (Asia),1339,1.01,426,96.7,2.8,https://www.truetrophies.com/game/Mixups-by-POWGI-Asian/trophies,1,2,https://www.truetrophies.com/game/Mixups-by-POWGI-Asian,Puzzle,Lightwood-Games,eastasiasoft,2019/July/23,269MB
862,Mixups by POWGI (EU),1355,1.03,2205,93.7,2.7,https://www.truetrophies.com/game/Mixups-by-POWGI-European/trophies,1,2,https://www.truetrophies.com/game/Mixups-by-POWGI-European,Puzzle,Lightwood-Games,Lightwood-Games,2019/February/12,272MB
863,MLB 14 The Show,4610,3.41,9926,4.7,4.0,https://www.truetrophies.com/game/MLB-14-The-Show/trophies,12,15,https://www.truetrophies.com/game/MLB-14-The-Show,Baseball|Sports,SCE-San-Diego-Studio,Sony-Computer-Entertainment,2014/May/06,37.50GB
864,MLB The Show 17,3174,2.46,10153,7.1,4.4,https://www.truetrophies.com/game/MLB-The-Show-17/trophies,30,35,https://www.truetrophies.com/game/MLB-The-Show-17,Baseball|Sports,SCE-San-Diego-Studio,Sony-Interactive-Entertainment,2017/March/28,38.40GB
865,MLB The Show 18,2231,1.73,8613,14.2,4.3,https://www.truetrophies.com/game/MLB-The-Show-18/trophies,20,25,https://www.truetrophies.com/game/MLB-The-Show-18,Baseball|Sports,SCE-San-Diego-Studio,Sony-Interactive-Entertainment,2018/March/23,42.26GB
866,Mochi Mochi Boy,1303,1.01,2771,97.2,2.2,https://www.truetrophies.com/game/Mochi-Mochi-Boy/trophies,0,1,https://www.truetrophies.com/game/Mochi-Mochi-Boy,Puzzle,Pixelteriyaki,Ratalaika-Games,2019/July/16,183MB
867,Mochi Mochi Boy (Asia),1294,1.0,1137,99.3,2.5,https://www.truetrophies.com/game/Mochi-Mochi-Boy-Asian/trophies,0,1,https://www.truetrophies.com/game/Mochi-Mochi-Boy-Asian,Puzzle,Pixelteriyaki,Ratalaika-Games,2019/July/24,259MB
868,Mochi Mochi Boy (EU),1302,1.01,3828,97.4,2.3,https://www.truetrophies.com/game/Mochi-Mochi-Boy-European/trophies,0,1,https://www.truetrophies.com/game/Mochi-Mochi-Boy-European,Puzzle,Pixelteriyaki,Ratalaika-Games,2019/July/17,185MB
869,Modern Tales: Age of Invention,1342,1.03,724,89.8,3.0,https://www.truetrophies.com/game/Modern-Tales-Age-of-Invention/trophies,2,3,https://www.truetrophies.com/game/Modern-Tales-Age-of-Invention,Adventure|Point-and-Click,Orchid-Games,Artifex-Mundi,2019/April/02,1.46GB
870,Mom Hid My Game!,333,1.11,423,69.0,3.1,https://www.truetrophies.com/game/Mom-Hid-My-Game/trophies,1,2,https://www.truetrophies.com/game/Mom-Hid-My-Game,Puzzle,Hap-Inc,KEMCO,2020/August/12,149MB
871,MONOPOLY Deal,436,1.38,1293,35.6,2.5,https://www.truetrophies.com/game/MONOPOLY-Deal/trophies,3,4,https://www.truetrophies.com/game/MONOPOLY-Deal,Card-and-Board,Ubisoft-San-Francisco,Ubisoft,2014/December/02,571MB
872,Monopoly Family Fun Pack,537,1.71,14005,9.0,3.2,https://www.truetrophies.com/game/Monopoly-Family-Fun-Pack/trophies,2,3,https://www.truetrophies.com/game/Monopoly-Family-Fun-Pack,Card-and-Board,Ubisoft-San-Francisco,Ubisoft,2014/November/18,976MB
873,MONOPOLY Plus,433,1.38,32665,16.6,3.3,https://www.truetrophies.com/game/MONOPOLY-Plus/trophies,1,2,https://www.truetrophies.com/game/MONOPOLY-Plus,Card-and-Board,Ubisoft-San-Francisco,Ubisoft,2014/December/02,1.00GB
874,Monster Boy and the Cursed Kingdom,1939,1.44,2849,42.6,4.3,https://www.truetrophies.com/game/Monster-Boy-and-the-Cursed-Kingdom/trophies,20,25,https://www.truetrophies.com/game/Monster-Boy-and-the-Cursed-Kingdom,Metroidvania|Platformer,Game-Atelier,FDG-Entertainment,2018/December/04,4.15GB
875,Monster Energy Supercross - The Official Videogame,2682,1.99,22512,19.9,2.7,https://www.truetrophies.com/game/Monster-Energy-Supercross/trophies,8,10,https://www.truetrophies.com/game/Monster-Energy-Supercross,Motocross|Simulation-Racing|Sports,Milestone,Square-Enix,2018/February/13,8.54GB
876,Monster Jam: Crush It!,1427,1.06,4510,84.5,2.3,https://www.truetrophies.com/game/Monster-Jam-Crush-It/trophies,3,4,https://www.truetrophies.com/game/Monster-Jam-Crush-It,Arcade-Racing|Automobile,Feld-Entertainment,GameMill-Entertainment,2016/October/21,1.70GB
877,More Dark,1306,1.01,376,95.7,4.0,https://www.truetrophies.com/game/More-Dark/trophies,0,1,https://www.truetrophies.com/game/More-Dark,Platformer,HugePixel,Ratalaika-Games,2020/November/24,77MB
878,More Dark (EU),1303,1.01,439,97.3,0.5,https://www.truetrophies.com/game/More-Dark-European/trophies,0,1,https://www.truetrophies.com/game/More-Dark-European,Platformer,HugePixel,Ratalaika-Games,2020/November/25,77MB
879,Mortal Kombat 11 (PS4),2555,1.89,49203,14.7,4.3,https://www.truetrophies.com/game/Mortal-Kombat-11-PS4/trophies,40,50,https://www.truetrophies.com/game/Mortal-Kombat-11-PS4,Fighting,NetherRealm-Studios,Warner-Bros-Interactive-Entertainment,2019/April/23,39.79GB
880,Mortal Kombat X,4865,3.15,125523,2.1,4.0,https://www.truetrophies.com/game/Mortal-Kombat-X/trophies,50,60,https://www.truetrophies.com/game/Mortal-Kombat-X,Fighting,NetherRealm-Studios,Warner-Bros-Interactive-Entertainment,2015/April/14,33.52GB
881,Mortal Shell (EU),2764,2.14,4410,13.4,4.0,https://www.truetrophies.com/game/Mortal-Shell-European/trophies,15,20,https://www.truetrophies.com/game/Mortal-Shell-European,Action-RPG|Role-Playing,Cold-Symmetry,PlayStack,2020/August/18,3.83GB
882,MotoGP 14,2095,1.55,3918,29.1,3.5,https://www.truetrophies.com/game/MotoGP-14/trophies,15,20,https://www.truetrophies.com/game/MotoGP-14,Automobile|Simulation-Racing,Milestone,Milestone,2014/June/20,15.10GB
883,MotoGP 14 Compact,367,1.16,469,57.4,3.1,https://www.truetrophies.com/game/MotoGP-14-Compact/trophies,2,3,https://www.truetrophies.com/game/MotoGP-14-Compact,Automobile|Simulation-Racing,Milestone,Milestone,2014/November/20,7.64GB
884,MotoGP 17,1911,1.42,2068,40.7,3.6,https://www.truetrophies.com/game/MotoGP-17/trophies,15,20,https://www.truetrophies.com/game/MotoGP-17,Automobile|Simulation-Racing,Milestone,Milestone,2017/June/15,11.37GB
885,MotoGP 18,1727,1.28,1318,49.4,3.8,https://www.truetrophies.com/game/MotoGP-18/trophies,20,25,https://www.truetrophies.com/game/MotoGP-18,Automobile|Simulation-Racing,Milestone,Milestone,2018/June/07,11.14GB
886,MouseCraft,441,1.47,13982,40.5,2.9,https://www.truetrophies.com/game/MouseCraft/trophies,4,5,https://www.truetrophies.com/game/MouseCraft,Puzzle,Crunching-Koalas,Curve-Digital,2014/July/08,302MB
887,Mr. Massagy,1373,1.02,13093,96.0,2.1,https://www.truetrophies.com/game/Mr-Massagy/trophies,0,1,https://www.truetrophies.com/game/Mr-Massagy,Visual-Novel,Green-Lava-Studios,Green-Lava-Studios,2017/April/04,142MB
888,Murdered: Soul Suspect,1581,1.24,40853,49.8,3.5,https://www.truetrophies.com/game/Murdered-Soul-Suspect/trophies,8,10,https://www.truetrophies.com/game/Murdered-Soul-Suspect,Action-Adventure,Airtight-Games,Square-Enix,2014/June/03,9.13GB
889,Music Racer (EU),1513,1.15,983,69.5,3.2,https://www.truetrophies.com/game/Music-Racer-European/trophies,8,10,https://www.truetrophies.com/game/Music-Racer-European,Arcade-Racing|Automobile,AbstractArt,Sometimes-You,2020/January/29,475MB
890,MXGP2 The Official Motocross Videogame,1651,1.22,2632,57.7,3.7,https://www.truetrophies.com/game/MXGP2-The-Official-Motocross-Videogame/trophies,10,12,https://www.truetrophies.com/game/MXGP2-The-Official-Motocross-Videogame,Automobile|Motocross|Simulation-Racing|Sports,Milestone,PQube,2016/June/07,17.40GB
891,My Big Sister,1417,1.05,1079,89.2,2.4,https://www.truetrophies.com/game/My-Big-Sister/trophies,1,2,https://www.truetrophies.com/game/My-Big-Sister,Adventure,Stranga,Ratalaika-Games,2019/May/07,397MB
892,My Big Sister (EU),1422,1.05,1489,88.7,3.0,https://www.truetrophies.com/game/My-Big-Sister-European/trophies,1,2,https://www.truetrophies.com/game/My-Big-Sister-European,Adventure,Stranga,Ratalaika-Games,2019/May/08,407MB
893,My Name is Mayo,1375,1.02,48069,95.8,1.8,https://www.truetrophies.com/game/My-Name-is-Mayo/trophies,0,1,https://www.truetrophies.com/game/My-Name-is-Mayo,Action,Green-Lava-Studios,Green-Lava-Studios,2016/November/08,80MB
894,My Name is Mayo 2,1361,1.01,13397,97.8,2.2,https://www.truetrophies.com/game/My-Name-is-Mayo-2/trophies,0,1,https://www.truetrophies.com/game/My-Name-is-Mayo-2,Action,Green-Lava-Studios,Green-Lava-Studios,2020/November/17,352MB
895,My Time at Portia,3053,2.37,5316,10.6,3.6,https://www.truetrophies.com/game/My-Time-at-Portia/trophies,80,100,https://www.truetrophies.com/game/My-Time-at-Portia,Management|Role-Playing,Pathea-Games,Team17-Software,2019/April/16,2.28GB
896,N.E.R.O.: Nothing Ever Remains Obscure,1467,1.12,4969,75.6,2.4,https://www.truetrophies.com/game/NERO/trophies,2,3,https://www.truetrophies.com/game/NERO,Adventure,Storm-in-a-Teacup,SOEDESCO,2016/June/24,4.30GB
897,Naruto Shippuden: Ultimate Ninja Storm 2,2333,1.77,11073,18.8,4.0,https://www.truetrophies.com/game/Naruto-Shippuden-Ultimate-Ninja-Storm-2/trophies,35,40,https://www.truetrophies.com/game/Naruto-Shippuden-Ultimate-Ninja-Storm-2,Fighting,CyberConnect2,Bandai-Namco-Entertainment,2017/August/25,5.38GB
898,Naruto Shippuden: Ultimate Ninja Storm 3 Full Burst,2121,1.57,10894,27.5,4.0,https://www.truetrophies.com/game/Naruto-Shippuden-Ultimate-Ninja-Storm-3-PS4/trophies,30,35,https://www.truetrophies.com/game/Naruto-Shippuden-Ultimate-Ninja-Storm-3-PS4,Fighting,CyberConnect2,Bandai-Namco-Entertainment,2017/August/25,7.40GB
899,Naruto Shippuden: Ultimate Ninja Storm 4,2833,1.89,52293,6.1,4.0,https://www.truetrophies.com/game/Naruto-Shippuden-Ultimate-Ninja-Storm-4/trophies,35,40,https://www.truetrophies.com/game/Naruto-Shippuden-Ultimate-Ninja-Storm-4,Fighting,CyberConnect2,Bandai-Namco-Entertainment,2016/February/04,34.70GB
