index,game,score,leaderbord,gamers,comp_perc,rating,url,min_comp_time,max_comp_time,Links,genres,developer,publisher,release_date,size
139,Assassin's Creed Odyssey,3235,1.51,110770,10.8,4.4,https://www.truetrophies.com/game/Assassins-Creed-Odyssey/trophies,80,100,https://www.truetrophies.com/game/Assassins-Creed-Odyssey,Stealth|Open-World|Role-Playing|Action-RPG,Ubisoft-Quebec,Ubisoft,2018/October/05,47.00GB
140,Assassin's Creed Origins,2582,1.46,121365,10.8,4.4,https://www.truetrophies.com/game/Assassins-Creed-Origins/trophies,60,80,https://www.truetrophies.com/game/Assassins-Creed-Origins,Stealth|Open-World|Role-Playing|Action-RPG,Ubisoft-Montreal,Ubisoft,2017/October/27,44.60GB
141,Assassin's Creed Rogue Remastered,2051,1.52,16015,33.6,3.9,https://www.truetrophies.com/game/Assassins-Creed-Rogue-Remastered/trophies,25,30,https://www.truetrophies.com/game/Assassins-Creed-Rogue-Remastered,Open-World|Stealth,Ubisoft-Sofia,Ubisoft,2018/March/20,9.03GB
142,Assassin's Creed Syndicate,2409,1.56,110174,9.4,4.1,https://www.truetrophies.com/game/Assassins-Creed-Syndicate/trophies,35,40,https://www.truetrophies.com/game/Assassins-Creed-Syndicate,Open-World|Stealth,Ubisoft-Quebec,Ubisoft,2015/October/23,42.91GB
143,Assassin's Creed Unity,2519,1.66,124974,11.4,3.5,https://www.truetrophies.com/game/Assassins-Creed-Unity/trophies,50,60,https://www.truetrophies.com/game/Assassins-Creed-Unity,Open-World|Stealth,Ubisoft-Montreal,Ubisoft,2014/November/11,38.20GB
144,Assassin's Creed Valhalla (PS4),3434,2.57,32611,6.9,4.2,https://www.truetrophies.com/game/Assassins-Creed-Valhalla-PS4/trophies,150,200,https://www.truetrophies.com/game/Assassins-Creed-Valhalla-PS4,Stealth|Open-World|Role-Playing|Action-RPG,Ubisoft-Montreal,Ubisoft,2020/November/10,42.76GB
145,Assassin's Creed: Brotherhood,1798,1.36,30405,37.0,4.2,https://www.truetrophies.com/game/Assassins-Creed-Brotherhood-PS4/trophies,25,30,https://www.truetrophies.com/game/Assassins-Creed-Brotherhood-PS4,Open-World|Stealth,Ubisoft-Montreal,Ubisoft,2016/November/15,37.60GB
146,Assassin's Creed: Revelations,1869,1.42,21641,36.3,4.0,https://www.truetrophies.com/game/Assassins-Creed-Revelations-PS4/trophies,25,30,https://www.truetrophies.com/game/Assassins-Creed-Revelations-PS4,Open-World|Stealth,Ubisoft-Montreal,Ubisoft,2016/November/15,37.65GB
147,ASTRO BOT Rescue Mission,2655,1.97,20771,16.4,4.7,https://www.truetrophies.com/game/Astro-Bot-Rescue-Mission/trophies,10,12,https://www.truetrophies.com/game/Astro-Bot-Rescue-Mission,Platformer,SIE-Japan-Studio,Sony-Interactive-Entertainment,2018/October/02,7.24GB
148,Astrology and Horoscope Premium,303,1.01,476,94.7,1.5,https://www.truetrophies.com/game/Astrology-and-Horoscope-Premium/trophies,0,1,https://www.truetrophies.com/game/Astrology-and-Horoscope-Premium,Educational-and-Trivia,Crazysoft,Crazysoft,2018/December/06,175MB
149,Astrology and Horoscope Premium (EU),302,1.01,260,97.7,2.5,https://www.truetrophies.com/game/Astrology-and-Horoscope-Premium-European/trophies,0,1,https://www.truetrophies.com/game/Astrology-and-Horoscope-Premium-European,Educational-and-Trivia,Crazysoft,Crazysoft,2018/December/06,175MB
150,Atelier Firis: The Alchemist and the Mysterious Journey,1886,1.5,3995,35.4,3.5,https://www.truetrophies.com/game/Atelier-Firis-The-Alchemist-and-the-Mysterious-Journey/trophies,40,50,https://www.truetrophies.com/game/Atelier-Firis-The-Alchemist-and-the-Mysterious-Journey,Role-Playing|Turn-Based,Gust,KOEI-TECMO,2016/November/02,17.93GB
151,Atelier Sophie: The Alchemist of the Mysterious Book,2164,1.6,10925,28.6,3.9,https://www.truetrophies.com/game/Atelier-Sophie-The-Alchemist-of-the-Mysterious-Book/trophies,40,50,https://www.truetrophies.com/game/Atelier-Sophie-The-Alchemist-of-the-Mysterious-Book,Role-Playing|Turn-Based,Gust,KOEI-TECMO,2015/November/19,5.50GB
152,Attack of the Toy Tanks,1360,1.03,1964,90.6,1.3,https://www.truetrophies.com/game/Attack-of-the-Toy-Tanks/trophies,0,1,https://www.truetrophies.com/game/Attack-of-the-Toy-Tanks,Automobile|Vehicular-Combat,Petite-Games,Ratalaika-Games,2019/June/25,218MB
153,Attack of the Toy Tanks (Asia),1334,1.01,847,96.7,1.0,https://www.truetrophies.com/game/Attack-of-the-Toy-Tanks-Asian/trophies,0,1,https://www.truetrophies.com/game/Attack-of-the-Toy-Tanks-Asian,Automobile|Vehicular-Combat,Petite-Games,eastasiasoft,2019/July/03,262MB
154,Attack of the Toy Tanks (EU),1360,1.03,3071,90.8,1.6,https://www.truetrophies.com/game/Attack-of-the-Toy-Tanks-European/trophies,0,1,https://www.truetrophies.com/game/Attack-of-the-Toy-Tanks-European,Automobile|Vehicular-Combat,Petite-Games,Ratalaika-Games,2019/June/26,231MB
155,Autumn's Journey (EU),1323,1.0,777,99.4,2.5,https://www.truetrophies.com/game/Autumns-Journey-European/trophies,0,1,https://www.truetrophies.com/game/Autumns-Journey-European,Visual-Novel,Apple-Cider,Ratalaika-Games,2020/December/09,233MB
156,Aven Colony,2116,1.62,1778,27.4,3.8,https://www.truetrophies.com/game/Aven-Colony/trophies,20,25,https://www.truetrophies.com/game/Aven-Colony,Management|Simulation|Strategy,Mothership-Entertainment,Team17-Software,2017/July/25,7.35GB
157,Awesome Pea,1608,1.19,761,68.7,1.6,https://www.truetrophies.com/game/Awesome-Pea/trophies,2,3,https://www.truetrophies.com/game/Awesome-Pea,Platformer,Pigeon-Dev-Games,Sometimes-You,2019/March/01,184MB
158,Awesome Pea (EU),1577,1.17,782,71.5,2.2,https://www.truetrophies.com/game/Awesome-Pea-European/trophies,1,2,https://www.truetrophies.com/game/Awesome-Pea-European,Platformer,Pigeon-Dev-Games,Sometimes-You,2019/March/01,184MB
159,Axiom Verge,3993,2.99,9166,6.7,4.2,https://www.truetrophies.com/game/Axiom-Verge/trophies,25,30,https://www.truetrophies.com/game/Axiom-Verge,Metroidvania|Platformer,Thomas-Happ-Games,Sony-Computer-Entertainment,2015/March/31,372MB
160,"Azayaka na Irodori no Naka de, Kimi Rashiku",303,1.01,616,97.7,2.4,https://www.truetrophies.com/game/Azayaka-na-Irodori-no-Naka-de-Kimi-Rashiku/trophies,0,1,https://www.truetrophies.com/game/Azayaka-na-Irodori-no-Naka-de-Kimi-Rashiku,Visual-Novel,Prekano,Entergram,2018/February/22,1.45GB
161,Back in 1995 (EU),1427,1.08,912,81.9,1.8,https://www.truetrophies.com/game/Back-in-1995-European/trophies,1,2,https://www.truetrophies.com/game/Back-in-1995-European,Action-Horror,Throw-the-warped-code-out,Ratalaika-Games,2019/May/22,173MB
162,Back to Bed,562,1.87,3003,16.9,2.8,https://www.truetrophies.com/game/Back-to-Bed/trophies,2,3,https://www.truetrophies.com/game/Back-to-Bed,Puzzle,Bedtime-Digital-Games,LOOT-Interactive,2015/August/25,265MB
163,Back to the Future: The Game - 30th Anniversary Edition,1698,1.26,10274,55.1,3.6,https://www.truetrophies.com/game/Back-to-the-Future-The-Game-30th-Anniversary-Edition/trophies,10,12,https://www.truetrophies.com/game/Back-to-the-Future-The-Game-30th-Anniversary-Edition,Adventure|Point-and-Click,Telltale-Games,Telltale-Games,2015/October/13,3.47GB
164,Baseball Riot,510,1.7,940,22.7,3.0,https://www.truetrophies.com/game/Baseball-Riot/trophies,6,8,https://www.truetrophies.com/game/Baseball-Riot,Puzzle,10tons,10tons,2016/January/19,43MB
165,Bastion,2977,2.21,23514,15.7,4.0,https://www.truetrophies.com/game/Bastion/trophies,15,20,https://www.truetrophies.com/game/Bastion,Role-Playing|Action-RPG,Supergiant-Games,Warner-Bros-Interactive-Entertainment,2015/April/07,1.10GB
166,BATMAN �?? The Telltale Series,1395,1.09,99794,74.1,3.8,https://www.truetrophies.com/game/BATMAN--The-Telltale-Series/trophies,1,2,https://www.truetrophies.com/game/BATMAN--The-Telltale-Series,Adventure|Point-and-Click,Telltale-Games,Warner-Bros-Interactive-Entertainment,2016/August/02,1.83GB
